City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index,Location Category,Overall Score
Amsterdam,194.03,Weekday,Private Room,False,True,2,False,1,0,10,93,1,5.02,2.54,78.69,4.17,98.25,6.85,Suburbs,96.5
Amsterdam,344.25,Weekday,Private Room,False,True,4,False,0,0,8,85,1,0.49,0.24,631.18,33.42,837.28,58.34,City Center,82.5
Amsterdam,264.1,Weekday,Private Room,False,True,2,False,0,1,9,87,1,5.75,3.65,75.28,3.99,95.39,6.65,Suburbs,88.5
Amsterdam,433.53,Weekday,Private Room,False,True,4,False,0,1,9,90,2,0.38,0.44,493.27,26.12,875.03,60.97,City Center,90.0
Amsterdam,485.55,Weekday,Private Room,False,True,2,True,0,0,10,98,1,0.54,0.32,552.83,29.27,815.31,56.81,City Center,99.0
Amsterdam,552.81,Weekday,Private Room,False,True,3,False,0,0,8,100,2,2.13,1.9,174.79,9.26,225.2,15.69,Medium-Sized City,90.0
Amsterdam,215.12,Weekday,Private Room,False,True,2,False,0,0,10,94,1,1.88,0.73,200.17,10.6,242.77,16.92,City Center,97.0
Amsterdam,2771.31,Weekday,Entire Home/Apt,False,False,4,True,0,0,10,100,3,1.69,1.46,208.81,11.06,272.31,18.98,City Center,100.0
Amsterdam,1001.8,Weekday,Entire Home/Apt,False,False,4,False,0,0,9,96,2,3.72,1.2,106.23,5.62,133.88,9.33,Medium-Sized City,93.0
Amsterdam,276.52,Weekday,Private Room,False,True,2,False,1,0,10,88,1,3.14,0.92,206.25,10.92,238.29,16.6,Medium-Sized City,94.0
Amsterdam,909.47,Weekday,Entire Home/Apt,False,False,2,False,0,0,10,96,1,1.01,0.92,409.86,21.7,555.11,38.68,City Center,98.0
Amsterdam,319.64,Weekday,Private Room,False,True,2,True,1,0,10,97,1,2.18,1.59,191.5,10.14,229.3,15.98,Medium-Sized City,98.5
Amsterdam,675.6,Weekday,Entire Home/Apt,False,False,4,False,0,0,8,87,1,2.93,0.63,214.92,11.38,269.62,18.79,Medium-Sized City,83.5
Amsterdam,552.81,Weekday,Entire Home/Apt,False,False,2,True,0,0,10,100,1,1.31,1.34,325.26,17.22,390.91,27.24,City Center,100.0
Amsterdam,209.03,Weekday,Private Room,False,True,2,False,1,0,8,96,1,7.3,3.72,59.78,3.17,75.7,5.27,Suburbs,88.0
Amsterdam,368.85,Weekday,Private Room,False,True,2,True,0,0,10,98,1,1.03,0.56,359.92,19.06,439.95,30.66,City Center,99.0
Amsterdam,368.85,Weekday,Private Room,False,True,2,False,0,0,10,90,1,1.33,0.12,539.01,28.54,573.9,39.99,City Center,95.0
Amsterdam,337.92,Weekday,Private Room,False,True,2,True,1,0,10,97,1,1.37,0.53,576.08,30.5,845.96,58.95,City Center,98.5
Amsterdam,313.55,Weekday,Private Room,False,True,2,True,1,0,10,96,1,1.29,0.55,528.94,28.01,1023.9,71.35,City Center,98.0
Amsterdam,447.59,Weekday,Entire Home/Apt,False,False,2,False,1,0,9,93,1,1.06,1.07,422.85,22.39,476.7,33.22,City Center,91.5
Amsterdam,243.25,Weekday,Private Room,False,True,2,True,1,0,10,96,1,2.87,1.28,169.7,8.99,210.27,14.65,Medium-Sized City,98.0
Amsterdam,933.85,Weekday,Entire Home/Apt,False,False,4,False,0,0,10,96,2,1.01,0.38,477.79,25.3,664.05,46.27,City Center,98.0
Amsterdam,251.92,Weekday,Private Room,False,True,2,False,1,0,10,97,1,1.25,1.1,267.33,14.16,366.46,25.54,City Center,98.5
Amsterdam,377.29,Weekday,Private Room,False,True,2,False,0,0,10,98,1,1.17,0.98,278.8,14.76,383.58,26.73,City Center,99.0
Amsterdam,245.59,Weekday,Private Room,False,True,2,True,1,0,10,96,1,4.23,2.69,92.21,4.88,116.22,8.1,Medium-Sized City,98.0
Amsterdam,217.7,Weekday,Private Room,False,True,2,False,1,0,8,93,1,4.18,2.81,93.27,4.94,117.76,8.21,Medium-Sized City,86.5
Amsterdam,295.03,Weekday,Private Room,False,True,2,False,1,0,10,95,1,3.37,0.23,170.03,9.0,217.16,15.13,Medium-Sized City,97.5
Amsterdam,295.03,Weekday,Private Room,False,True,2,False,0,0,10,94,1,4.13,0.84,129.23,6.84,164.41,11.46,Medium-Sized City,97.0
Amsterdam,1032.97,Weekday,Entire Home/Apt,False,False,4,False,1,0,9,96,2,2.16,1.42,183.37,9.71,222.39,15.5,Medium-Sized City,93.0
Amsterdam,270.43,Weekday,Private Room,False,True,4,True,0,0,10,98,1,4.89,1.09,91.67,4.85,114.67,7.99,Medium-Sized City,99.0
Amsterdam,524.69,Weekday,Entire Home/Apt,False,False,2,False,0,1,9,89,1,1.13,1.12,386.36,20.46,462.81,32.25,City Center,89.5
Amsterdam,599.68,Weekday,Entire Home/Apt,False,False,4,False,0,0,9,94,3,3.36,0.7,156.24,8.27,198.87,13.86,Medium-Sized City,92.0
Amsterdam,516.02,Weekday,Entire Home/Apt,False,False,4,False,0,0,9,100,2,1.07,0.38,487.87,25.83,702.93,48.98,City Center,95.0
Amsterdam,602.25,Weekday,Entire Home/Apt,False,False,3,False,0,0,10,100,2,3.86,0.73,148.72,7.88,184.26,12.84,Medium-Sized City,100.0
Amsterdam,504.07,Weekday,Entire Home/Apt,False,False,4,False,0,0,9,94,2,4.08,1.87,98.64,5.22,122.13,8.51,Medium-Sized City,92.0
Amsterdam,1609.92,Weekday,Entire Home/Apt,False,False,6,False,1,0,10,96,3,2.99,1.75,207.95,11.01,241.78,16.85,Medium-Sized City,98.0
Amsterdam,310.97,Weekday,Entire Home/Apt,False,False,2,False,1,0,9,94,0,4.15,0.04,118.78,6.29,151.38,10.55,Medium-Sized City,92.0
Amsterdam,202.7,Weekday,Private Room,False,True,2,False,0,0,10,94,1,5.61,3.91,71.35,3.78,89.08,6.21,Suburbs,97.0
Amsterdam,796.29,Weekday,Entire Home/Apt,False,False,4,False,0,0,10,94,2,2.85,1.7,202.84,10.74,271.38,18.91,Medium-Sized City,97.0
Amsterdam,504.07,Weekday,Private Room,False,True,2,False,0,0,9,96,1,6.41,4.14,67.22,3.56,84.0,5.85,Suburbs,93.0
Amsterdam,319.64,Weekday,Private Room,False,True,2,False,0,1,10,95,1,0.54,0.34,558.61,29.58,816.91,56.92,City Center,97.5
Amsterdam,614.44,Weekday,Private Room,False,True,4,False,0,1,9,96,1,0.5,0.33,717.45,37.99,848.4,59.12,City Center,93.0
Amsterdam,467.04,Weekday,Private Room,False,True,3,False,0,1,10,94,1,0.51,0.28,589.28,31.2,873.36,60.86,City Center,97.0
