OrderID,CustomerID,ProductName,Brand,Raw_Weight,Country,OrderDate,UnitPrice
REC-861088,6120,Perly,Perly,100.0,Morocco,2024-02-22,13.18
REC-900952,12550,Prince Goût Chocolat,Lu,300.0,Algeria,2024-11-13,1.5
REC-595965,6705,Excellence Noir Prodigieux Cacao,Lindt Excellence,100.0,Algeria,2025-02-02,12.99
REC-942653,8645,Tonik,عربي,22.0,Morocco,2024-12-11,14.82
REC-885998,14430,Sésame,Gerblé,230.0,Belgium,2025-08-21,18.4
REC-674324,6760,Шоколад Какаова Маса,J. D. Gross,125.0,Austria,2024-09-08,19.16
REC-867660,8420,Cristaline Eau De Source L,Cristaline,500.0,Belgium,2024-10-10,3.64
REC-448132,9144,Henry’S,Henry'S,42.0,Morocco,2024-12-30,17.59
REC-202400,10397,Milk Chocolate Bar,-,150.0,Algeria,2024-08-04,11.08
REC-386572,13888,Organic Dark Chocolate Bar,Green & Black'S,90.0,France,2025-10-15,12.14
REC-394893,8397,King Cookies,Excelo,36.0,Morocco,2025-05-25,19.74
REC-965916,6325,Sable Coco Henry S G,-,42.0,Morocco,2024-07-02,2.64
REC-735024,8672,Biscuits Croquants Au Coeur Onctueux De Nutella®,Nutella,304.0,France,2024-12-11,10.57
REC-866242,13720,Tartine Croustillante Authentique,Wasa,275.0,France,2024-12-16,6.25
REC-167785,6250,Excellence Noir Intense Cacao,Lindt,100.0,Algeria,2024-10-26,1.25
REC-625106,12696,Lightly Sea Salted Crisps,Tyrrell'S,150.0,France,2024-09-16,1.84
REC-399127,6000,Dark Chocolate,Green & Black,90.0,Belgium,2025-09-11,19.17
REC-506660,10724,Excellence Noir Puissant Cacao,Lindt,100.0,Austria,2024-12-09,14.0
REC-323330,14542,Fourrés Chocolat Noir,Bjorg,225.0,France,2024-08-12,22.91
REC-726018,6965,Extra Dark Cocoa,Fin Carré,100.0,Belgium,2025-05-26,23.07
REC-799477,13302,Fibres,Wasa,230.0,Belgium,2025-03-19,6.57
REC-169584,14120,Henry’S,Henry'S,85.0,Morocco,2024-07-02,4.31
REC-925173,6135,Momo Black,Excelo,36.0,Morocco,2024-10-30,22.96
REC-898017,12257,Tuc Original,Mondelēz,100.0,Austria,2026-01-19,12.68
REC-739815,7944,Extra Fine Dark Chocolate,Lindt & Sprüngli,100.0,Australie,2024-03-13,12.4
REC-992581,8248,Eyoo Cover,Excelo,52.0,Morocco,2025-11-16,18.93
REC-392117,12134,Tartines Craquantes Au Sarrasin Imp,Ekibio,160.0,Belgium,2025-12-09,9.41
REC-337268,14038,Pomme 🍏 🍎 Noisette🥜,Gerblé,230.0,Belgium,2025-05-31,15.63
REC-974515,12699,Trios,Aperitivos Company,20.0,Spain,2026-01-06,24.16
REC-953482,13960,Edelbitter Cacao,J. D. Gross,125.0,De,2025-06-30,5.07
REC-829185,8153,Pringles Original,Pringles,165.0,Italia,2024-10-18,6.16
REC-212346,13782,Crunchy OatsHoney,Nature Valley,42.0,Belgium,2024-05-25,4.18
REC-416664,6670,Figue Son,Gerblé,210.0,Belgium,2024-11-22,17.46
REC-205333,10008,Bitter Extra Kraftig,Lindt,50.0,Australia,2024-11-27,2.2
REC-503724,7289,Nestlé Dessert,Nestlé,205.0,Belgium,2024-10-21,12.68
REC-407282,13001,Petit Beurre,Bé,300.0,Morocco,2024-09-08,9.34
REC-499346,14145,Pains Au Lait X,Pasquier,350.0,Belgium,2024-04-08,22.82
REC-668408,14519,Chocolat Au Lait,Milka,100.0,Algeria,2024-11-01,6.24
REC-400480,14530,Brioche Tranchée Bio G,-,400.0,France,2024-11-13,3.2
REC-936049,8846,King Cookies Choco,Excelo,36.0,Morocco,2025-05-12,16.03
REC-574329,11736,Bio Basmati Reis Vollkorn,Pueblo Lindo,180.0,Austria,2024-05-26,7.62
REC-837122,14656,Lidl Organic Dark Chocolate,Lidl,100.0,Belgium,2024-07-10,12.68
REC-955005,10000,Mix Di Frutta Secca,Alesto,200.0,France,2025-05-19,19.89
REC-538001,13364,Excellence Noir Subtil Doux Cacao,Lindt Excellence,100.0,Australia,2024-07-21,20.27
REC-900195,13320,La Gâche Tranchée,-,500.0,France,2025-08-04,11.15
REC-570097,7969,Sour Cream Onion,Pringles,165.0,Algieria,2024-10-16,20.45
REC-180568,5233,Chocolat Noir Cacao,Dark Excellente,100.0,Morocco,2025-11-02,8.29
REC-630706,8436,Granola LOriginal,Lu,200.0,Belgium,2025-11-20,10.39
REC-326111,12644,Cracotte Céréales Complètes,Lu,250.0,Belgium,2024-05-06,23.01
REC-574635,6128,Kinder Bueno,Kinder,225.0,Australia,2025-05-30,8.04
REC-218223,7913,Dark Chocolate,Tesco Finest,100.0,United Kingdom,2025-07-05,24.8
REC-895633,6608,Chips,Kettle,25.0,United Kingdom,2024-06-20,9.93
REC-754969,6085,Pringles Sare,Pringles,165.0,Armenia,2024-07-27,2.7
REC-528239,12090,Wasa,Barilla,270.0,France,2025-04-10,18.39
REC-540990,14397,HenryS Sable Coco Biscuit G,Henrys,85.0,Morocco,2025-08-06,12.49
REC-956271,13610,Cracotte,Lu,735.0,Belgium,2025-01-24,24.0
REC-440963,6157,Biscuit Raisins,-,270.0,France,2024-06-09,16.66
REC-116337,12524,Nutri Avoine Chocolat,Bjorg,130.0,France,2024-03-15,1.47
REC-653437,12486,Goût Chocolat,Bn,285.0,Belgium,2025-09-04,4.06
REC-786266,10600,Digestives,Mcvitie'S,360.0,France,2025-04-03,15.58
REC-650994,6007,Harrys Brioche Tressee Nature Au Sucre Perle Sans Additifs G,Harrys,500.0,France,2025-11-06,12.68
REC-981280,12427,Protein Cacahuetes🥜 Chocolat🍫,Nature Valley,160440.0,Belgium,2026-02-01,3.37
REC-295140,11156,Tartines Craquantes Quinoa Pois Chiche Sans Gluten,Jardin Bio,150.0,France,2025-03-28,24.72
REC-845441,11715,Lightly Salted Low Fat Corn Cakes,Kallo,122.0,France,2025-11-15,11.73
REC-649864,10711,Figolu,Lumondelez,1921216.0,France,2025-03-11,2.41
REC-745146,9008,Krit Krititas Galletas Saladas,Cuétara,350.0,Israel,2024-08-27,1.04
REC-595340,5792,Sour Cream Onion,Pringles,165.0,France,2024-02-13,4.9
REC-980028,11685,Crunchy Avoine Et Miel,Nature Valleygeneral Mills,210542.0,France,2025-04-29,8.94
REC-702338,12472,,حلال,1.0,Morocco,2024-03-06,12.58
REC-918887,11878,Biscuit Lait Chocolat,Gerblé,230.0,Belgium,2024-12-24,12.68
REC-854220,9266,Toffifee,Süßigkeiten,125.0,Germany,2024-09-28,13.2
REC-321774,13910,Crunchy Avoine Chocolat Noir X X Barres De G,General Mills,210.0,France,2025-07-22,20.71
REC-770550,12930,Cookie🍪 Cacao Pépites Sans Sucre,-,130.0,Belgium,2025-09-29,22.48
REC-570975,13801,Dark Milk Chocolate,Tesco,100.0,United Kingdom,2025-12-27,24.54
REC-347253,13159,Petit Déjeuner Miel Et Pépites De Chocolat,Belvita,435.0,Belgium,2025-03-15,7.58
REC-433923,8141,Biscuit Soja Orange,Gerblé,180.0,France,2024-12-17,5.38
REC-374982,7072,Sablés Anglais LOriginal,Mcvitie'S,400.0,France,2024-11-30,19.09
REC-833121,6028,Excellence Noir Corsé Cacao,Lindt,100.0,Australia,2025-04-28,23.01
REC-484365,9681,Картофельные Чипсы Со Вкусом Парики,Pringles,165.0,Bulgaria,2024-02-07,2.12
REC-204232,8249,Brioche Moins De Sucre,Harrys,485.0,France,2025-04-30,8.89
REC-942651,12158,Chocolat Monogram,Macao,180.0,Morocco,2025-07-25,3.33
REC-818095,14040,Lentil And Pea Cakes With Beetroot And Balsamic Flavour Seasoning,Kallo,122.0,United Kingdom,2025-02-09,7.77
REC-553814,14094,Pringles Original,Kellogg'S,165.0,Belgium,2025-07-04,3.36
REC-996953,5970,Fourrés Chocolat Au Lait,Bjorg,225.0,France,2024-07-18,11.61
REC-767742,12401,Pringles,-,40.0,Belgium,2024-02-25,22.67
REC-498811,7623,Digestive Avena Choco,-,425.0,Portugal,2024-02-23,12.68
REC-800513,9069,,Dark Excelente,100.0,Morocco,2024-07-05,12.58
REC-946193,10839,G C Or Noir Noisette,Côte D'Or,180.0,Algeria,2025-02-17,9.67
REC-662711,12233,Raffaello,Ferrero,150.0,Bulgaria,2025-07-15,13.27
REC-991303,7760,Barres De Fruits Secs Noix Myrtilles,Nakd.,140.0,Belgium,2024-09-05,3.46
REC-562005,6118,Tagger,Bimo,22.0,Morocco,2024-08-08,3.95
REC-802740,13691,Goûter S Saveur Pommes,Gerblé,360.0,France,2024-03-11,10.68
REC-723751,14512,Wheat Biscuits,Tesco,48912.0,United Kingdom,2025-11-29,8.66
REC-379767,11844,Protein Cocoa Hazelnut Bars,Nakd,135.0,Belgium,2024-10-12,1.55
REC-994160,11794,Thé Biscuits,Lu,350.0,France,2025-04-07,2.33
REC-607612,8211,Petites Madeleines,St Michel,500.0,France,2025-06-25,7.44
REC-331169,9169,Goûter Pépites De Chocolat,-,34250.0,Belgium,2025-09-28,1.01
REC-130025,8900,Sea Salt Cider Vinegar Chips,-,150.0,France,2024-10-10,17.32
REC-219484,5608,Príncipe Crema De Chocolate,Lu,300155.0,France,2025-03-21,14.49
REC-480927,14848,Kinder Bueno White,Kinder,39.0,Belgium,2025-09-21,19.57
REC-699692,14144,Sea Salt Lentil Chips,Proper Chips,70.0,United Kingdom,2025-05-25,23.12
REC-392540,6866,Napolitain LOriginal,Lu,180630.0,France,2025-11-10,24.73
REC-958052,13313,Petits Fours Financiers,-,500.0,France,2025-09-29,12.77
REC-151159,12792,Biscuits Pavot Citron,Gerblé,200.0,France,2025-10-20,11.76
REC-287331,14177,The Original Crunchy Rye Breads,Ryvita,250.0,United Kingdom,2026-01-18,17.49
REC-904456,7274,Pringles Original,-,165.0,Belgium,2025-09-15,4.56
REC-561658,8242,Blueberry Muffin Myrtilles,Nakd,435.0,France,2024-05-16,5.74
REC-884876,8901,Merendina Big,Bimo,52.0,Morocco,2025-05-21,8.14
REC-221353,9692,Belvita Original PetitDéjeuner Miel Et Pépites De Chocolat,Lu,440.0,Belgium,2024-04-04,21.53
REC-279860,11879,Véritable Petit Écolier Chocolat Au Lait,-,15012125.0,Algeria,2025-11-09,11.82
REC-996817,10003,Galletas Fibra Zero Azúcares,Gullón,170.0,Portugal,2024-09-27,13.03
REC-407433,13728,Belvita Petit Déjeuner Chocolat,Lu,200.0,Belgium,2025-01-16,2.77
REC-160782,9873,Caramelised Popcorn Seasoned With Sea Salt,Proper,28.0,Belgium,2024-08-02,4.7
REC-221530,8033,Edelbitter Mild ,-,125.0,Belgium,2025-08-23,2.26
REC-183716,12748,Véritable Petit Beurre Pocket,Lu,300.0,Belgium,2025-11-15,11.48
REC-878584,11980,Chips De Lentilles Saveur Fines Herbes,-,85.0,France,2025-07-31,1.81
REC-777037,13194,Chocolat Noir Equateur Bio,J.D. Gross,100.0,France,2024-09-16,7.37
REC-762689,9488,Biscuit Complet Au Germe De Blé,Gerblé,210.0,France,2024-05-10,3.33
REC-789279,9528,Milka Galette Choco,Lu,260.0,France,2025-05-23,12.59
REC-188975,5634,Multigrain Crispbread,Ryvita,250.0,France,2025-10-15,23.74
REC-476256,8438,Tartines Craquantes Sarrasin,Céréal Bio,145.0,France,2025-03-16,12.31
REC-337130,14724,Excellence Noir À La Pointe De Fleur De Sel,Lindt,10010.0,France,2025-01-07,13.22
REC-415413,5434,Nakd Cacahuètes G XP,Nakd.,140.0,Belgium,2025-04-14,12.23
REC-599217,6506,Cream Crackers,-,300.0,France,2026-01-10,14.86
REC-328646,12348,,Excelo,8.0,Morocco,2025-02-04,12.58
REC-563059,5998,Pistaches De Californie,Alesto,200.0,Belgium,2024-12-13,13.4
REC-294785,13490,Organic Crisp Bread,Dr Karg'S,180.0,France,2024-05-02,6.38
REC-693740,12990,Brioche Tranchée Recette Classique,Harrys,485.0,France,2024-03-09,21.83
REC-760615,11250,Véritable Petit Beurre,Lu,200.0,France,2026-01-20,15.12
REC-195486,11785,Sweet Salty Nut Chocolat Noir Et Mélange De Noix Barres De G,-,150.0,Belgium,2025-02-24,6.11
REC-516677,9726,Cheese Oatcakes,Nairn'S,200.0,France,2024-10-28,11.21
REC-146982,12015,Dark Chocolate,Fin Carré,100.0,Finland,2026-01-29,17.47
REC-239925,12675,Wholegrain Wheat Bixies,Crownfield - Lidl,72036.0,Ireland,2025-01-18,9.7
REC-109693,9652,Granola Lu,Lu,184.0,France,2024-10-18,1.26
REC-441235,14293,Cuites Au Four Nature,Lay'S,130.0,Belgium,2024-09-08,12.68
REC-176522,5950,Sour Cream Onion Chips,Pringles,185.0,France,2025-09-29,11.05
REC-145901,9071,Belvita Brut Céréales Complètes,Lu,400.0,Belgium,2024-07-18,24.59
REC-126227,13641,,Clorets,15.0,Morocco,2025-05-17,12.58
REC-360302,11499,Chocolate Negro Cacao,J. D. Gross,125.0,Francuska,2026-01-08,2.66
REC-633933,10355,Goûter Aux Raisins,Gerblé,360.0,Belgium,2024-03-28,8.33
REC-187987,6562,Pringles Sour Cream Onion,Pringles,40.0,Austria,2024-10-22,23.61
REC-307690,13557,Granola LOriginal Gros Éclats De Chocolat,Granola,276.0,France,2025-01-16,5.67
REC-921480,8300,Milk Chocolate With Honey And Almond Nougat,Toblerone,100.0,Algeria,2024-04-06,22.51
