,Invoice_ID,Salesperson,Store_Location,Product_Name,Units_Sold,Revenue,Cost_per_Unit,Transaction_Date,Total_Cost,Total_Profit,Profit_Margin_%
0,INV-1001,Bima,Jakarta,Manchester United,5.0,7500000.0,1000000.0,2024-03-01,5000000.0,2500000.0,33.33333333333333
1,INV-1002,Siti A.,Bandung,Arsenal,3.0,4500000.0,1000000.0,2024-03-02,3000000.0,1500000.0,33.33333333333333
2,INV-1003,Unknown,Surabaya,Paris Saint-Germain,2.0,3000000.0,1000000.0,2024-03-03,2000000.0,1000000.0,33.33333333333333
4,INV-1004,Andi T.,Jakarta,Bayern Munich,10.0,15000000.0,1000000.0,2024-03-04,10000000.0,5000000.0,33.33333333333333
5,INV-1005,Dewi P.,Bandung,Ajax Amsterdam,2.0,3000000.0,1000000.0,2024-03-05,2000000.0,1000000.0,33.33333333333333
6,INV-1006,Bima,Surabaya,Real Madrid,4.0,6000000.0,1000000.0,2024-03-06,4000000.0,2000000.0,33.33333333333333
7,INV-1007,Siti A.,Jakarta,Manchester United,4.0,6000000.0,1000000.0,2024-03-07,4000000.0,2000000.0,33.33333333333333
8,INV-1008,Andi T.,Bandung,Barcelona,1.0,1500000.0,1000000.0,2024-03-08,1000000.0,500000.0,33.33333333333333
9,INV-1009,Bima,Jakarta,Paris Saint-Germain,7.0,10500000.0,1000000.0,2024-03-09,7000000.0,3500000.0,33.33333333333333
10,INV-1010,Dewi P.,Surabaya,AC Milan,1.0,1500000.0,1000000.0,2024-03-10,1000000.0,500000.0,33.33333333333333
11,INV-1011,Siti A.,Jakarta,Juventus,3.0,4500000.0,1000000.0,2024-03-11,3000000.0,1500000.0,33.33333333333333
12,INV-1012,Unknown,Bandung,Arsenal,2.0,3000000.0,1000000.0,2024-03-12,2000000.0,1000000.0,33.33333333333333
13,INV-1013,Bima,Surabaya,Inter Milan,5.0,7500000.0,1000000.0,2024-03-13,5000000.0,2500000.0,33.33333333333333
14,INV-1014,Andi T.,Jakarta,Real Madrid,8.0,12000000.0,1000000.0,2024-03-14,8000000.0,4000000.0,33.33333333333333
15,INV-1015,Dewi P.,Bandung,Bayern Munich,4.0,4500000.0,1000000.0,2024-03-15,4000000.0,500000.0,11.11111111111111
16,INV-1016,Siti A.,Surabaya,Liverpool,4.0,6000000.0,1000000.0,2024-03-16,4000000.0,2000000.0,33.33333333333333
17,INV-1017,Bima,Jakarta,Chelsea,6.0,9000000.0,1000000.0,2024-03-17,6000000.0,3000000.0,33.33333333333333
18,INV-1018,Andi T.,Bandung,Ajax,3.0,4500000.0,1000000.0,2024-03-18,3000000.0,1500000.0,33.33333333333333
19,INV-1019,Dewi P.,Surabaya,Manchester United,2.0,3000000.0,1000000.0,2024-03-19,2000000.0,1000000.0,33.33333333333333
20,INV-1020,Siti A.,Jakarta,Paris Saint-Germain,10.0,15000000.0,1000000.0,2024-03-20,10000000.0,5000000.0,33.33333333333333
22,INV-1021,Unknown,Bandung,AC Milan,5.0,7500000.0,1000000.0,2024-03-21,5000000.0,2500000.0,33.33333333333333
23,INV-1022,Bima,Jakarta,Liverpool,1.0,1500000.0,1000000.0,2024-03-22,1000000.0,500000.0,33.33333333333333
24,INV-1023,Dewi P.,Surabaya,Manchester United,4.0,6000000.0,1000000.0,2024-03-23,4000000.0,2000000.0,33.33333333333333
25,INV-1024,Andi T.,Bandung,Juventus,4.0,3000000.0,1000000.0,2024-03-24,4000000.0,-1000000.0,-33.33333333333333
26,INV-1025,Siti A.,Jakarta,Inter Milan,3.0,4500000.0,1000000.0,2024-03-25,3000000.0,1500000.0,33.33333333333333
27,INV-1026,Bima,Surabaya,Chelsea,2.0,3000000.0,1000000.0,2024-03-26,2000000.0,1000000.0,33.33333333333333
28,INV-1027,Andi T.,Jakarta,Real Madrid,6.0,9000000.0,1000000.0,2024-03-27,6000000.0,3000000.0,33.33333333333333
29,INV-1028,Dewi P.,Bandung,Barcelona,5.0,7500000.0,1000000.0,2024-03-28,5000000.0,2500000.0,33.33333333333333
