Student_ID,Subject,Assignment_Name,Due_Date,Status,Grade_Feedback,Guardian_Signature
S12002,Science,Record.,2024-09-10,Not Done,C-,Yes
S01255,History,Head Baby.,2024-10-16,Not Done,A+,No
S04968,Arabic,Keep Audience Medical Free.,2025-02-11, Done ,A+,Yes
S07925,Geography,Three Half Peace.,2024-10-03, Done ,A+,-
S09980,Geography,Assume Particularly.,2024-12-01,Done,B-,No
S08309,Geography,Four From Kind Dark.,2024-12-19, Done ,A,No
S11121,Math,Analysis Late Human.,2024-11-10,Not Done,F,Yes
S00175,Arabic,Shake By.,2024-09-09, Done ,A,No
S02439,Geography,Oil Education Large Wonder.,2025-01-01,Done,C,No
S08144,Math,Never Bar Time Personal.,2024-10-15,Not Done,A+,No
S08545,Math,Deal Music.,2025-07-02,Done,F,No
S00424,History,Sister However.,2024-09-28,Done,B,-
S00568,Math,Range Huge.,2025-01-28,Done,A,Yes
S07048,Arabic,Music Build Check Force.,2025-02-01,Done,A+,-
S08771,Science,Strategy.,2025-02-26,Not Done,A+,Yes
S00004,English,Movement Before.,2025-02-03,Done,C-,No
S03421,Science,Strategy Family.,2024-12-13,Done,B,Yes
S05678,History,Alone Yeah.,2025-02-28, Done ,A+,-
S01051,Geography,Town Start Industry.,2024-12-05, Done ,B-,-
S08351,Geography,Upon Possible.,2024-10-06,Done,A+,Yes
S02892,Geography,All Should.,2025-01-13, Done ,B-,No
S11787,History,Deal City.,2024-12-07, Done ,A+,No
S09553,History,Road From Open Receive.,2025-02-12,Done,A+,No
S00091,Geography,Laugh Minute.,2025-04-02,Not Done,A,-
S05572,Math,Animal Live.,2025-01-03,Not Done,B-,Yes
S03669,Science,Media Environmental.,2025-02-11,Done,C-,Yes
S02662,Math,Story.,2024-09-24,Pending,B,Yes
S02378,History,Social Physical Write.,2025-01-27,Done,A+,Yes
S07855,History,Whom Care Ask.,2025-02-20,Not Done,C-,-
S10106,Math,Hospital If.,2025-01-25,Done,B,-
S06166,Math,Message Seek.,2024-12-19,Not Done,B,-
S07503,Geography,Scientist Relate Cover.,2025-04-01,Done,F,-
S09683,Geography,Success Within Medical.,2025-02-11,Done,C-,Yes
S03110,Geography,Red Identify Say.,2025-01-04, Done ,B,-
S04766,History,Generation.,2025-02-17,Done,C,No
S11466,Geography,Person Job.,2025-01-08,Done,A+,No
S04410,Science,Health General Small.,2025-02-20, Done ,D,-
S10067,History,Admit Yard.,2024-11-16,Not Done,B,No
S06923,History,Place.,2025-02-22,Pending,F,No
S05866,History,Everybody Half Fear.,2025-02-13,Not Done,B-,No
S07087,History,Positive Inside.,2025-01-30, Done ,C,Yes
S07161,History,Sure Factor.,2024-11-28,Pending,C,Yes
S10924,History,Modern Like Director.,2024-10-24,Not Done,F,No
S07945,Math,Research Prepare Computer.,2024-10-17, Done ,B,-
S00187,Science,Foreign.,2025-01-14,Done,D,No
S09910,Math,Mother Course.,2025-03-07,Done,F,-
S06993,English,Continue Defense Whatever.,2024-11-13, Done ,A,Yes
S03451,History,Occur Son Act.,2024-09-12,Pending,A,-
S06188,History,Note Line Nation.,2024-10-17,Not Done,A+,Yes
S07794,English,Attention Popular Nice.,2025-03-07,Not Done,D,-
S09303,History,Eat Toward According.,2024-12-08,Done,A,Yes
S05058,Math,Bring Thousand Sea.,2024-02-12,Not Done,C,No
S03048,English,Themselves Play Adult.,2025-01-30,Not Done,B-,No
S11320,Geography,Answer.,2025-01-09,Done,A+,-
S11107,Math,Long.,2024-07-12,Done,C-,Yes
S07251,English,Sometimes Expert.,2024-11-13,Pending,C,-
S05103,Geography,Fear Across.,2024-09-12, Done ,D,-
S07306,Geography,Moment.,2024-10-23,Not Done,A,-
S00828,Science,Station Television Manager.,2024-10-02,Done,F,No
S02329,Science,Type Follow.,2024-09-13, Done ,A+,No
S04045,Science,Behind Suddenly Truth.,2024-11-02,Done,B-,-
S08571,English,Especially Require.,2024-12-14,Not Done,A,-
S03713,History,Quickly Simple.,2024-10-08,Done,A,-
S04784,Math,Read Surface Determine.,2024-11-21, Done ,B,No
S04006,Arabic,Professional Stand.,2025-02-16,Done,D,Yes
S11171,Arabic,Whose Save Nearly.,2025-11-02,Done,D,Yes
S08040,Math,Company Black How.,2025-02-27, Done ,D,Yes
S01574,Science,Radio Agency Hit.,2024-10-15,Done,A+,Yes
S07756,Math,Well Owner Place.,2024-09-13,Done,D,-
S01777,Math,Try Sing Moment.,2024-10-27, Done ,C,No
S06533,English,Theory Single.,2025-01-12,Pending,A,Yes
S10168,Arabic,Mention Prepare.,2024-09-27, Done ,B,Yes
S06215,Arabic,Side Service Difficult.,2025-01-25,Not Done,C,-
S06511,Geography,Reality Create.,2025-01-24,Not Done,B-,-
S06224,History,Tough Out.,2024-03-10,Not Done,B-,Yes
S02532,Science,Set Capital.,2025-01-31,Done,D,No
S04520,Science,Tonight Attention.,2024-10-15,Not Done,C-,No
S00087,Geography,Their Clear Team.,2025-01-28,Pending,C,No
S05770,Science,What Generation Current.,2025-02-21,Pending,D,-
S09016,Arabic,Floor Woman.,2024-11-26, Done ,B-,-
S12111,Arabic,Relate.,2025-01-23,Not Done,C-,-
S11555,Math,Feel May Speak.,2024-09-20, Done ,B,No
S02282,Geography,Agent Child.,2024-11-18,Done,D,-
S01153,History,Thousand Hour.,2024-09-29,Done,B,Yes
S01856,Arabic,Leave Popular.,2024-09-13,Done,C,No
S06708,Science,Project Everybody Fly.,2025-03-03,Done,C-,No
S01043,Arabic,Apply Rule Present.,2025-01-23,Not Done,A,Yes
S09501,History,Administration Race.,2024-12-25,Not Done,A,Yes
S09150,Math,Start Make.,2024-10-19, Done ,A+,-
S00985,English,Sound Serve.,2024-12-02,Done,C-,Yes
S04485,Geography,Report.,2025-02-26,Pending,C-,Yes
S05960,Science,Owner National.,2024-11-23,Not Done,C-,No
S00219,History,Various Glass.,2024-10-27,Not Done,A+,No
S10285,Science,Between Plant.,2024-11-27,Not Done,D,-
S07872,English,Soon When Less This.,2024-12-25, Done ,C-,-
S03670,Math,Continue.,2024-10-24,Done,C-,No
S02486,Math,High.,2025-02-18,Not Done,A+,-
S06554,English,Its Center Machine.,2024-09-28,Done,B-,No
S01349,Arabic,Between.,2025-01-20,Not Done,F,No
S06486,Science,Say Current Provide.,2024-12-12,Pending,D,No
S00601,Geography,Choice Coach.,2024-12-23,Not Done,B,Yes
S00330,English,Start Single.,2024-10-23,Done,C,-
S03120,Math,Much Current Class Any.,2025-02-01,Pending,C-,-
S10266,Science,Task Situation.,2025-01-31,Done,C,-
S10471,Science,Responsibility Century.,2024-09-23,Not Done,F,-
S08021,Math,Medical Charge.,2024-12-09, Done ,D,-
S07736,English,War Sister.,2024-09-22,Done,B,-
S07659,Science,Of Environment.,2025-01-19,Done,A+,Yes
S09863,History,Wall Around Popular.,2024-09-17, Done ,A+,-
S07273,English,So.,2025-02-06,Done,A+,-
S10920,Science,South Least.,2024-09-15,Not Done,C,No
S05796,English,Because North Administration.,2024-11-23,Not Done,B-,Yes
S06259,English,Attack Turn.,2024-09-22, Done ,D,No
S05122,Geography,Culture May Remember.,2025-01-04,Not Done,A,No
S10172,Arabic,Standard.,2025-01-25, Done ,A,Yes
S03138,History,Guess Direction.,2024-12-25,Pending,D,Yes
S07726,Math,May If.,2024-11-23, Done ,C-,Yes
S06642,Math,Nation Establish.,2024-10-16,Pending,A,Yes
S05811,Geography,Finally Question Rate.,2024-11-29,Done,B,No
S06638,Arabic,Air Two.,2025-09-02,Not Done,C-,-
S06909,Math,Have Skin.,2024-12-31,Not Done,B-,Yes
S10341,English,Writer Teach Follow.,2025-01-13, Done ,A+,-
S09572,History,From Plan Something.,2025-03-01,Done,B,Yes
S05178,History,Past Sing.,2024-09-20,Done,A+,No
S09258,Geography,Law Carry Stage.,2025-06-02, Done ,D,No
S09268,Math,Religious Student Hot.,2024-09-29,Done,C,No
S03447,Science,Pick Police And.,2024-10-25,Pending,A,No
S01530,Math,Through Wear.,2024-11-19, Done ,A+,Yes
S07544,Math,Be Memory Tv.,2024-09-11,Not Done,C,No
S06996,Math,Significant Expect.,2024-11-09,Pending,A+,Yes
S06032,Arabic,Low Another Western.,2024-12-15,Done,A+,-
S03303,English,Fill They We.,2025-02-22,Pending,A,No
S03099,Science,Health Top.,2024-12-05,Pending,D,-
S07216,Math,Shoulder Exist Network.,2024-12-18,Pending,A+,-
S04062,Math,Event He Thousand Alone.,2025-03-03, Done ,D,-
S07816,Science,Join Close.,2024-10-22,Not Done,A,Yes
S09683,Arabic,Knowledge Become.,2025-06-02,Done,B,No
S04470,English,Lay Maybe.,2024-05-12,Not Done,D,-
S02370,Math,Call Manage Difference Seem.,2025-02-24,Done,A,-
S08804,Geography,Reduce Region Hold.,2025-02-07,Pending,D,Yes
S02581,History,Section Sing.,2024-12-25,Pending,C-,Yes
S06156,Geography,Per Hour.,2025-02-06,Done,B-,Yes
S06549,Science,Member Without.,2024-10-31,Not Done,B,-
S09864,Arabic,Safe State.,2024-11-29,Not Done,D,-
S09007,Geography,Movement Task.,2024-09-14,Pending,C-,-
S08276,Geography,Position Hotel Politics.,2024-12-31,Not Done,B-,-
S07650,English,Return National.,2024-12-01,Pending,C,No
S08249,Geography,Pick Rule Source Point.,2025-02-05,Not Done,B-,-
S06365,Geography,Clear Writer Skin.,2025-02-14,Pending,F,No
S09777,Math,History Rate.,2024-12-20,Not Done,C-,Yes
S03956,Science,Control.,2024-02-10,Not Done,F,No
S01771,History,Either Interview.,2024-11-29,Pending,C,Yes
S06247,Science,Environment Beyond Production Early.,2024-12-21,Done,F,-
S10620,History,Exactly Away Yard.,2025-01-14,Done,D,Yes
S05935,Geography,Similar.,2025-01-18, Done ,A,Yes
S06837,Science,Significant Purpose Draw.,2024-11-25,Done,A,-
S09908,History,Necessary Worker Population.,2024-10-28,Not Done,D,Yes
S07199,Science,Smile Time Mother.,2025-02-23,Not Done,B,No
