Student_ID,Date,Subject,Attendance_Status
S06592,2024-09-20,Arabic,Present
S01777,2025-01-22,Math,Present
S07362,2024-12-03,Geography,PRESENT 
S12119,2024-03-16,Geography,excused
S02002,2024-05-24,Math,PRESENT 
S11872,2024-03-13,Geography,excused
S03196,2024-07-10,Geography,excused
S08589,2024-07-10,Math, late
S09604,2024-08-06,Arabic,Absent
S00870,2024-12-11,Arabic,left early
S04335,2024-03-25,Geography,Late
S03614,2024-11-16,Geography,Late
S04868,2024-10-14,Math,left early
S11462,2025-01-07,Arabic,left early
S02096,2025-01-01,Math,Present
S01258,2024-05-08,Geography,left early
S10696,2024-06-25,Arabic, late
S07045,2025-01-16,Math,Late
S05335,2024-11-21,Science,Present
S07904,2025-01-12,Arabic,absnt
S10897,2024-06-24,Arabic,Late
S04730,2025-01-28,History,left early
S11886,2024-11-11,Geography,Present
S05903,2024-12-07,English, late
S07581,2024-06-13,Math, late
S04790,2024-10-28,Math,excused
S00923,2024-10-07,Science,Absent
S06107,2024-11-14,Science,PRESENT 
S04002,2024-06-29,English,absnt
S06390,2024-08-02,Math,Present
S03733,2024-06-24,History,PRESENT 
S03131,2025-01-09,Science,excused
S00098,2024-10-22,History, late
S07123,2024-09-17,History,Late
S07174,2024-05-24,Geography,Present
S10359,2024-10-02,English,Present
S07484,2024-10-12,Math,Late
S02154,2024-08-16,Arabic,excused
S06923,2024-03-09,English,left early
S02643,2024-08-30,Arabic,left early
S05477,2024-09-26,Arabic,absnt
S04173,2024-07-07,Geography,excused
S11830,2025-02-11,Math,absnt
S05599,2024-05-26,Geography,PRESENT 
S06854,2024-06-16,Arabic, late
S07816,2024-04-25,History,absnt
S03711,2025-01-19,History,left early
S09400,2024-12-12,Science,left early
S01923,2024-12-18,History,excused
S03399,2024-10-17,English,left early
S02512,2024-09-06,English,excused
S04968,2024-05-09,Arabic,PRESENT 
S05411,2024-12-05,Geography,absnt
S00092,2025-01-15,Science, late
S04268,2024-06-14,Science, late
S00728,2024-07-01,English,Absent
S00791,2025-02-17,Math,Late
S03980,2024-08-09,History, late
S07782,2024-03-19,History,PRESENT 
S11206,2024-07-14,English,Absent
S05315,2024-06-05,English,Late
S10058,2025-01-18,Math,Absent
S09580,2024-05-29,Geography,Absent
S03919,2024-10-31,Science,left early
S09907,2025-02-24,Geography,left early
S11748,2024-06-04,Science, late
S08504,2025-01-03,Arabic,absnt
S09880,2024-05-05,Math,Present
S04411,2024-06-05,History,Absent
S05864,2024-10-09,English, late
S11872,2024-11-25,Arabic,excused
S08212,2024-08-21,English,left early
S09939,2024-11-20,English,Late
S11868,2024-09-03,English,absnt
S00393,2025-02-05,Geography,absnt
S03713,2024-09-07,English,absnt
S02538,2024-08-02,History,left early
S11397,2025-01-19,History,left early
S06823,2024-10-04,English,Present
S02860,2024-07-23,Math,absnt
S03714,2024-07-01,Science,Absent
S09252,2024-11-30,English,excused
S01796,2025-02-19,History,PRESENT 
S01735,2024-03-29,Geography, late
S04703,2024-03-28,Arabic,Absent
S10917,2024-08-14,Geography,PRESENT 
S10547,2024-07-29,History,Late
S05199,2024-05-02,Science, late
S04190,2024-09-20,Geography,excused
S04423,2024-07-25,History,Present
S09721,2024-04-17,English,Late
S08376,2024-11-23,History,Late
S06700,2024-03-18,Geography,excused
S01952,2024-07-02,Arabic,left early
S11075,2024-06-17,Math,Absent
S10876,2024-10-22,Geography, late
S01616,2024-09-03,Science,excused
S08373,2024-05-13,Math,Absent
S10677,2024-08-11,Math, late
S01127,2024-11-30,Science, late
S01227,2024-05-13,Arabic,excused
S01164,2024-10-10,Math,absnt
S05982,2025-01-06,Geography,absnt
S03492,2024-09-05,Science,Present
S06839,2025-02-10,English,left early
S01010,2024-03-13,Science,PRESENT 
S01173,2024-04-14,Geography, late
S03525,2024-05-22,Geography,excused
S04951,2024-09-18,Math,excused
S04861,2025-02-25,English,Present
S10713,2024-08-14,Arabic,Absent
S01755,2024-11-09,Science,left early
S01456,2024-05-27,Math,Absent
S07838,2024-05-21,Science,PRESENT 
S04580,2024-10-13,Math, late
S04991,2024-05-18,Math,excused
S08039,2024-06-11,Math,absnt
S03265,2024-07-26,Geography,PRESENT 
S05868,2024-05-22,Math,Absent
S01021,2025-02-03,Arabic,Absent
S03246,2024-09-03,English,left early
S02407,2024-10-14,Geography,PRESENT 
S03648,2024-10-08,Math,Present
S03250,2025-01-15,English,left early
S10105,2024-09-03,Geography,PRESENT 
S12089,2024-08-15,Geography,PRESENT 
S05615,2024-10-19,Math,absnt
S07010,2024-08-13,Math,Present
S00098,2025-01-08,Science,Late
S09691,2024-07-04,Science,Late
S01195,2024-11-22,Math,left early
S10945,2025-01-02,English,Present
S06205,2024-11-10,History,left early
S00315,2024-04-16,History,Present
S10226,2024-03-23,Math,PRESENT 
S05239,2025-01-27,Geography,absnt
S00143,2024-04-30,Arabic, late
